,sentence,score,rating,percentile
0,I vote against this resolution.,5.174622033381999e-06,1,6.760406521190532
1,I voted in favour of this Discharge.,6.182480893433372e-06,1,8.483929565803166
2,"Well, dear colleague, that depends.",5.606962974800454e-06,1,7.2845126938807
3,"Mr. President, honourable Madam Chancellor!",5.20241096779339e-06,1,6.86176569346567
4,I voted for this report.,5.156340706216003e-06,1,6.568116075022472
5,I approved this message.,4.248968987653719e-06,1,5.189130792958249
6,I voted in favour of this recommendation.,6.203852342058016e-06,1,8.560470339928631
7,I voted in favor of this resolution.,6.477815962809996e-06,1,9.300225451163023
8,I am voting in favour.,5.090729438760274e-06,1,6.448403801594635
9,"Mr President, I will make a reference to Lebanon.",6.481004855806068e-06,0,9.341519928756599
10,I agreed to this proposal.,4.952159710290007e-06,1,6.098860647822759
11,Where is our money disappearing to in Afghanistan?,6.631101867304041e-06,0,9.828919899141367
12,I voted in favour of this report.,6.499766174976571e-06,1,9.376766225288488
13,I didn't say I disagreed.,3.9315600769919495e-06,1,5.013524984201734
14,Dear Mr. PRESIDENT!,3.983439125501452e-06,1,5.0218673029075065
15,"Madam President, dear colleagues!",5.162738049749735e-06,1,6.645908196953802
16,Considering EC Regulation no.,4.75570292299823e-06,0,5.804585355476628
17,"Madam President, dear colleagues!",5.162738049749735e-06,1,6.645908196953802
18,I voted in favour of Mr Susta’s report.,5.970117081555727e-06,1,8.086835195408387
19,"Mr President, I would like to make a correction.",6.288504689765775e-06,1,8.76089454683482
20,"Mr President, Mr Commissioner, dear colleagues!",6.157943399707575e-06,1,8.416148226318764
21,"Technically and legally, I understand the Commissioner’s response.",6.350572960813656e-06,0,8.912933305247526
22,"Mr President, Commissioner, ladies and gentlemen.",6.4306669826006226e-06,1,9.14297274355921
23,I voted for this Resolution.,5.164830345454051e-06,1,6.739550724426101
24,I support this report.,4.303876029141068e-06,1,5.266714356921934
25,"Mr President, this is a very positive report.",6.45070937156393e-06,1,9.226813046552223
26,I voted in favour as I have no objections.,6.660213589424432e-06,1,9.9010809559463
27,"Madam President, Commissioner, let us be clear.",6.668029980556566e-06,1,9.930279071416505
28,I voted in favour of this report.,6.499766174976571e-06,1,9.376766225288488
29,"Mr President, 2022, European Year of Youth.",6.2477953231724786e-06,1,8.676220011971228
30,"Madam President, Mr.",4.283919227462671e-06,1,5.221040162007829
31,Ladies and Gentlemen!,4.4174001168720325e-06,1,5.510101505162853
32,I voted against these three reports.,5.740482185872964e-06,1,7.474300444437029
33,"Mr. President, we are compounding error with error.",5.260523243081738e-06,1,6.906188540573909
34,I support the resolution presented.,4.923664317462148e-06,1,6.045886924041103
35,I voted against this report.,5.18543807071077e-06,1,6.766871818187506
36,A high level of referee training is essential.,6.140554322128552e-06,0,8.387575784751492
37,We have voted against the current report.,6.5988362001176294e-06,1,9.762181349495187
38,I spoke out in favor of this discharge.,6.657542847871216e-06,1,9.885856224308265
39,I am voting for this report.,5.6735283876205225e-06,1,7.376069641676556
40,"Thank you, Mr.",4.310992097549211e-06,1,5.291741313039252
41,I completely agree with your opinion.,5.8208093700011055e-06,1,7.67243051369913
42,"Mr President, permanence is the illusion of every age.",6.62212146545005e-06,0,9.8111924718916
43,I agreed with this report.,4.863860831314598e-06,1,5.876120738378629
44,"Mr President, I fully agree with the rapporteur.",6.539036354040901e-06,1,9.622238953205848
45,"Mr President, Commissioner Malmström, ladies and gentlemen!",6.225084715296796e-06,1,8.624497635995438
46,I voted in favor of the text.,6.115330775804992e-06,1,8.335644850808057
47,"Madam President, Commissioner!",4.432552314176961e-06,1,5.5526473305622925
48,"Mr President, dear colleagues!",5.056769764491331e-06,1,6.274675014546919
49,"Mr President, let us speak frankly.",5.971116888988812e-06,1,8.089129333052474
50,"Madam President, dear colleagues!",5.162738049749735e-06,1,6.645908196953802
51,I am in favour of the proposed regulation.,6.613138521318716e-06,1,9.79617629822121
52,"Mr President, ladies and gentlemen, I am truly disconcerted.",6.511006246082444e-06,1,9.530264889474704
53,"Thank you, Mr President.",4.9089390074073604e-06,1,5.930345809966151
54,I voted against granting the discharge.,5.622535818465483e-06,1,7.304742816742199
55,I supported this resolution.,4.3907665594978655e-06,1,5.448994020643068
56,"Mr President, I wish the Slovenian Presidency well.",6.430528382912781e-06,1,9.142764185591565
57,I support the waiving of Mr Iwaszkiewicz’s immunity.,6.4405303528471045e-06,1,9.20491445994957
58,Thank you Mr President.,4.9089390074073604e-06,1,5.930345809966151
59,I am voting for this request for immunity.,6.605233070497035e-06,1,9.776154733327354
60,Thank you for that answer.,5.60331835024066e-06,1,7.276378933142573
61,I am in favour of these appointments.,5.905784610299302e-06,1,7.994026899806666
62,"Mr President, I think everything has been said.",6.537073883626649e-06,1,9.586158424803381
63,I listened with interest.,4.310120427577968e-06,1,5.291532755071608
64,I voted for this report.,5.156340706216003e-06,1,6.568116075022472
65,"Mr President, I naturally supported this resolution.",5.784510355928411e-06,1,7.596306855508954
66,We are open to freedom of ideas.,6.571208392697979e-06,0,9.69815405342838
67,I am voting for this decision.,5.7340060038547515e-06,1,7.4670009155694785
68,Good morning colleagues.,4.2576811406487075e-06,1,5.195804647922867
69,PODEMOS voted against the new Juncker Commission.,6.474884006445262e-06,1,9.293551596198405
70,I am not an Indonesia expert.,5.0778696045345985e-06,1,6.431927722150734
71,I have voted in favour.,5.173573772939451e-06,1,6.7599894052552445
72,"Madam President, dear colleagues!",5.162738049749735e-06,1,6.645908196953802
73,That is an easy one.,5.436638054549512e-06,1,7.087842530392109
74,"Mr President, resolution 1441 is very clear.",5.932268574064607e-06,1,8.037824073011974
75,I voted in favor of this report.,6.5384180341736925e-06,1,9.593040837735645
76,"Good evening Madam President, Commissioner.",5.08592452505066e-06,1,6.443189852403526
77,"Mr President, Commissioner, rapporteur!",4.613757019070057e-06,1,5.698012234010382
78,"Mr President, Commissioner, Minister, Ladies and Gentlemen!",6.474441119466519e-06,1,9.292508806360184
79,I abstain because the report is very vague.,6.438064330279153e-06,1,9.198449162952597
80,"Mr. President, Mr. Commissioner!",4.657131866466477e-06,1,5.715948219227793
81,"Madam President, colleagues!",4.134669041616431e-06,1,5.116552620218027
82,I voted for this proposal for several reasons.,6.691114121694411e-06,1,9.993472135612732
83,I strongly support animal welfare.,5.199182900656875e-06,0,6.8594715558215835
84,"Mr President, congratulations on uniting everyone, Mr Romeva.",6.334105362727954e-06,1,8.86913613204222
85,I have voted against the report.,5.789943178357466e-06,1,7.603606384376506
86,"Madam Speaker, a family of seven was killed.",6.484832013722488e-06,0,9.347568109818283
87,I voted in favor of Mr McAllister's report.,6.087581514497335e-06,1,8.28559093857342
88,"Mr President, honourable Members!",4.928651500264515e-06,1,6.0592346339703385
89,"Madam President, Commissioner, ladies and gentlemen!",6.504879638123843e-06,1,9.498146962457481
90,"Mr President, dear colleagues!",5.056769764491331e-06,1,6.274675014546919
91,I support the submitted proposal.,4.859740135199346e-06,1,5.874035158702186
92,I voted in favour of this report.,6.499766174976571e-06,1,9.376766225288488
93,This report presents few new proposals.,6.050398933850378e-06,1,8.220937968603684
94,I voted against rejecting this resolution.,5.365684064848009e-06,1,7.0044193433343835
95,I voted for this document.,4.994298629625966e-06,1,6.166016313404229
96,I voted for this report.,5.156340706216003e-06,1,6.568116075022472
97,Parliament strongly supports the enlargement process.,6.311020446088928e-06,1,8.808654321425369
98,I welcome this safeguard clause.,4.991698293353262e-06,1,6.164347849663074
99,I voted for this report.,5.156340706216003e-06,1,6.568116075022472
